구별,"강간,추행",살인,강도,절도,폭력,"강간,추행검거율",강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,1.0,1.0,1.0,1.0,1.0,80.0599700149925,90.9090909090909,83.33333333333334,48.37675350701402,86.6294524189261,559720.0,7721.0,1.0,77.86172003667137
강동구,0.2353823088455772,0.4166666666666667,0.45454545454545453,0.6701402805611223,0.49760765550239233,85.35031847133759,100.0,100.0,53.827751196172244,85.41666666666666,465549.0,3549.0,0.4548684732242426,84.91894726683529
강북구,0.2653673163418291,0.4166666666666667,0.45454545454545453,0.349498997995992,0.47129186602870815,83.05084745762711,100.0,80.0,67.54587155963303,90.07332205301748,291372.0,3331.0,0.3914740603157301,84.13400821405553
강서구,0.391304347826087,0.25,0.6363636363636364,0.797995991983968,0.6382243487506646,74.71264367816092,100.0,100.0,59.51783023606229,91.6701374427322,567159.0,3546.0,0.5427776649848711,85.18012227139108
관악구,0.49025487256371814,0.8333333333333334,0.8181818181818182,0.7879759519038076,0.6823498139287613,85.3211009174312,88.88888888888889,80.0,53.40793489318413,80.48305414881185,497827.0,5772.0,0.7224191579822877,77.62019576966321
광진구,0.3448275862068966,0.5,0.0,0.6693386773547094,0.45534290271132377,75.65217391304347,,83.33333333333334,49.76047904191617,86.86514886164623,350925.0,3828.0,0.39390183325458594,73.90278378748481
구로구,0.32533733133433285,0.9166666666666666,0.7272727272727273,0.627254509018036,0.5465178096757044,66.82027649769586,100.0,100.0,53.73801916932908,83.94941634241245,414271.0,5003.0,0.6286098087934934,80.90154240188748
금천구,0.1904047976011994,0.16666666666666666,0.2727272727272727,0.44809619238476955,0.3527379053694843,68.50393700787401,100.0,50.0,59.2128801431127,85.4559155990957,240680.0,3169.0,0.28612656694987854,72.63454655001648
노원경찰서,0.2698650674662669,0.25,0.2727272727272727,0.6028056112224449,0.5863902179691654,83.88888888888889,33.33333333333333,100.0,48.47074468085106,79.64641885766093,,,0.39635763387702994,69.06787715214685
도봉구,0.10494752623688156,0.25,0.0,0.388376753507014,0.2921318447634237,77.14285714285715,,100.0,56.34674922600619,87.89808917197452,308864.0,2378.0,0.2070912249014638,80.34692388520946
동대문구,0.1874062968515742,0.3333333333333333,0.18181818181818182,0.6236472945891783,0.41626794258373206,84.8,100.0,100.0,52.89203084832905,82.75862068965517,360211.0,3268.0,0.3484946098352,84.09013030759685
동작구,0.31784107946026985,0.16666666666666666,0.45454545454545453,0.4789579158316633,0.35114300903774587,50.47169811320755,100.0,100.0,49.20502092050209,78.57683573050718,389576.0,3024.0,0.35383082510836006,75.65071095284335
마포구,0.6536731634182908,0.16666666666666666,0.18181818181818182,0.5815631262525051,0.5861244019138756,84.40366972477065,50.0,100.0,45.00344589937974,81.17913832199547,374962.0,3155.0,0.43396910801390404,72.11725078922917
서대문구,0.2353823088455772,0.4166666666666667,0.5454545454545454,0.44649298597194387,0.2902711323763955,91.71974522292994,100.0,80.0,50.7181328545781,81.13553113553114,320378.0,3793.0,0.38685352786302574,80.71468184260783
서초구,0.6461769115442278,0.25,0.2727272727272727,0.769939879759519,0.5584795321637427,76.10208816705337,100.0,66.66666666666666,53.305570015616865,82.86530223702998,412275.0,5395.0,0.4994647192389524,75.78792541727339
성동구,0.1874062968515742,0.16666666666666666,0.18181818181818182,0.39238476953907814,0.2886762360446571,77.60000000000001,100.0,100.0,54.95403472931562,88.21362799263352,284258.0,4409.0,0.2433904301840316,84.15353254438983
성북구,0.2368815592203898,0.25,0.09090909090909091,0.4581162324649299,0.3838383838383838,81.64556962025317,100.0,100.0,62.55468066491689,88.43490304709142,436901.0,4578.0,0.2839490532865589,86.5270306664523
송파구,0.43478260869565216,0.16666666666666666,0.45454545454545453,0.8821643286573146,0.7094630515683147,75.86206896551724,100.0,100.0,46.933212176283504,80.47958036717871,659661.0,4031.0,0.5295244220266806,80.65497230179588
양천구,0.17091454272863568,0.16666666666666666,0.2727272727272727,0.5907815631262525,0.4189261031366295,80.7017543859649,100.0,100.0,52.98507462686567,79.44162436548223,437774.0,4447.0,0.3240032296770914,82.62569067566255
영등포구,0.49025487256371814,0.4166666666666667,0.9090909090909091,0.8264529058116232,0.6419457735247209,72.47706422018348,90.0,100.0,46.21726479146459,82.02898550724638,397942.0,4566.0,0.6568822255315276,78.14466290377888
용산구,0.4197901049475262,0.4166666666666667,0.6363636363636364,0.39198396793587176,0.45108984582668793,85.0,100.0,60.0,51.94274028629857,78.78609310548026,223433.0,3258.0,0.46317884434807777,75.14576667835577
은평구,0.2638680659670165,0.3333333333333333,0.45454545454545453,0.6,0.4797979797979798,82.95454545454545,80.0,100.0,63.19305277221109,86.31578947368422,470185.0,5027.0,0.42630896672875684,82.49267754008815
종로구,0.34182908545727136,0.16666666666666666,0.7272727272727273,0.5262525050100201,0.4218500797448166,78.94736842105263,87.5,0.0,46.91546077684692,83.1758034026465,150550.0,2031.0,0.43677421283030043,59.30772652010921
중구,0.2908545727136432,0.08333333333333333,0.45454545454545453,0.5470941883767535,0.4003189792663477,63.4020618556701,80.0,100.0,53.040293040293044,84.06374501992032,,,0.3552293056471064,76.10121998317669
중랑구,0.22488755622188905,0.16666666666666666,0.18181818181818182,0.6044088176352705,0.5148856990962254,80.66666666666666,100.0,100.0,58.48806366047745,85.90604026845638,387433.0,4512.0,0.3385333842876467,85.01215411912008
