구분,"강간,추행검거","강간,추행발생",강도검거,강도발생,살인검거,살인발생,절도검거,절도발생,폭력검거,폭력발생,구별,lat,lng
강남,359,458,8,9,5,6,654,1565,2178,2494,강남구,37.5094352,127.0669578
강동,134,157,5,5,6,5,900,1672,1599,1872,강동구,37.528511,127.1268224
강북,147,177,6,5,4,5,589,872,1597,1773,강북구,37.63719740000001,127.0273048
강서,195,261,7,7,3,3,1185,1991,2201,2401,강서구,37.5513622,126.8502799
관악,279,327,8,9,8,10,1050,1966,2066,2567,관악구,37.4743945,126.9513489
광진,174,230,0,0,5,6,831,1670,1488,1713,광진구,37.5428231,127.0838395
구로,145,217,9,8,11,11,841,1565,1726,2056,구로구,37.5074418,126.8902237
금천,87,127,3,3,1,2,662,1118,1134,1327,금천구,37.4568129,126.8968061
남대문,36,57,2,2,0,0,265,455,427,480,중구,37.5547584,126.9734981
노원,151,180,1,3,3,3,729,1504,1757,2206,노원경찰서,37.641836,127.072198
도봉,54,70,0,0,3,3,546,969,966,1099,도봉구,37.6533589,127.052682
동대문,106,125,2,2,4,4,823,1556,1296,1566,동대문구,37.58506149999999,127.0457679
동작,107,212,5,5,3,2,588,1195,1038,1321,동작구,37.5138235,126.953907
마포,368,436,1,2,2,2,653,1451,1790,2205,마포구,37.550814,126.954028
방배,46,61,0,0,1,1,188,305,355,391,서초구,37.4945959,126.9831279
서대문,144,157,6,6,4,5,565,1114,886,1092,서대문구,37.560607,126.9626106
서부,64,82,2,2,2,2,460,726,779,908,은평구,37.6020914,126.9213528
서초,282,370,3,3,1,2,836,1616,1386,1710,서초구,37.4954676,127.0053395
성동,97,125,2,2,2,2,538,979,958,1086,성동구,37.56169149999999,127.0363006
성북,78,103,0,0,1,1,335,540,653,732,성북구,37.6056991,127.0175664
송파,220,290,6,5,2,2,1033,2201,2148,2669,송파구,37.5019044,127.1271338
수서,175,209,2,2,5,6,553,930,1081,1268,강남구,37.49349,127.0772119
양천,92,114,3,3,2,2,781,1474,1252,1576,양천구,37.5167711,126.8656996
영등포,237,327,9,10,6,5,953,2062,1981,2415,영등포구,37.5260441,126.9008091
용산,238,280,7,7,3,5,508,978,1337,1697,용산구,37.5387099,126.9659183
은평,82,94,2,3,2,2,486,771,779,897,은평구,37.6280204,126.9287899
종로,120,142,4,5,0,2,333,723,722,847,종로구,37.571824,126.9841533
종암,51,55,1,1,2,2,380,603,624,712,성북구,37.603989,127.039937
중랑,121,150,2,2,2,2,882,1508,1664,1937,중랑구,37.6056429,127.0764866
중부,87,137,2,3,2,1,459,910,839,1026,중구,37.56361709999999,126.9896517
혜화,60,86,3,3,0,0,283,590,598,740,종로구,37.5719679,126.9989574
